감정명,문장 예시
분노,거울 속 내 모습이 낯설게 느껴졌어.
분노,밥도 거르고 그냥 멍하니 있었어.
분노,친구한테 답장할 힘도 없었어.
분노,하루 종일 방 안에서 조용히 있었어.
짜증,진심으로 짜증이 나를 갉아먹는 느낌이야.
짜증,짜증 때문에 밥맛도 없고 잠도 안 와.
짜증,짜증이라는 감정을 어떻게 표현해야 할지 모르겠어.
짜증,짜증 때문에 웃는 게 어색해졌어.
짜증,무슨 일이 있어도 짜증은 좀처럼 사라지지 않아.
짜증,계속 짜증이 느껴져서 하루 종일 우울했어.
짜증,겉으로는 멀쩡해 보여도 속은 완전 짜증이야.
짜증,"왜 이렇게 짜증하지, 나도 모르겠어."
짜증,짜증이 쌓이고 쌓여서 이제는 무뎌진 것 같아.
짜증,괜찮다고 말하면서도 계속 짜증이 따라다녀.
짜증,그냥 이유 없이 지치고 힘들었어.
짜증,괜히 눈물이 날 것 같은 하루였어.
짜증,대화를 해도 마음이 공허했어.
짜증,일상에 집중이 안 되고 멍했어.
짜증,누가 뭐라고 한 것도 아닌데 속이 답답했어.
짜증,별일 없는데 자꾸 가라앉는 기분이 들어.
짜증,하루 종일 기운이 없었어.
짜증,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
짜증,혼자 있으면 쓸쓸함이 밀려와.
짜증,마음이 복잡하고 어지러워.
짜증,누워서 천장만 바라보며 시간을 보냈어.
짜증,오늘 아무것도 하지 않고 침대에만 누워 있었어.
짜증,거울 속 내 모습이 낯설게 느껴졌어.
짜증,집안일 하나도 못 하고 시간을 흘려보냈어.
짜증,하루 종일 방 안에서 조용히 있었어.
짜증,핸드폰만 들여다보면서 시간을 보냈어.
짜증,친구한테 답장할 힘도 없었어.
짜증,밥도 거르고 그냥 멍하니 있었어.
짜증,샤워할 기운조차 없었어.
짜증,하루 종일 창밖만 멍하니 바라봤어.
질투,괜찮다고 말하면서도 계속 질투이 따라다녀.
질투,사람들이 모를 뿐이지 나 진짜 질투해.
질투,"말없이 눈물만 나, 아마 질투 때문일 거야."
질투,질투 때문에 밥맛도 없고 잠도 안 와.
질투,질투이라는 감정을 어떻게 표현해야 할지 모르겠어.
질투,무슨 일이 있어도 질투은 좀처럼 사라지지 않아.
질투,진심으로 질투이 나를 갉아먹는 느낌이야.
질투,질투이 너무 심해서 일도 못 하겠어.
질투,이런 질투이 계속되면 무너질 것 같아.
질투,겉으로는 멀쩡해 보여도 속은 완전 질투이야.
질투,하루 종일 기운이 없었어.
질투,누가 뭐라고 한 것도 아닌데 속이 답답했어.
질투,별일 없는데 자꾸 가라앉는 기분이 들어.
질투,일상에 집중이 안 되고 멍했어.
질투,대화를 해도 마음이 공허했어.
질투,괜히 눈물이 날 것 같은 하루였어.
질투,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
질투,혼자 있으면 쓸쓸함이 밀려와.
질투,마음이 복잡하고 어지러워.
질투,그냥 이유 없이 지치고 힘들었어.
질투,하루 종일 방 안에서 조용히 있었어.
질투,하루 종일 창밖만 멍하니 바라봤어.
질투,샤워할 기운조차 없었어.
질투,핸드폰만 들여다보면서 시간을 보냈어.
질투,누워서 천장만 바라보며 시간을 보냈어.
질투,친구한테 답장할 힘도 없었어.
질투,집안일 하나도 못 하고 시간을 흘려보냈어.
질투,밥도 거르고 그냥 멍하니 있었어.
질투,오늘 아무것도 하지 않고 침대에만 누워 있었어.
질투,거울 속 내 모습이 낯설게 느껴졌어.
억울함,억울함 때문에 밥맛도 없고 잠도 안 와.
억울함,억울함이라는 감정을 이렇게 오래 느낀 건 처음이야.
억울함,지금 이 상태가 억울함인 건가 싶어.
억울함,"말없이 눈물만 나, 아마 억울함 때문일 거야."
억울함,괜찮다고 말하면서도 계속 억울함이 따라다녀.
억울함,"그냥 억울함한 하루였어, 특별한 일도 없는데."
억울함,억울함이 너무 심해서 사람 만나기도 싫어.
억울함,그냥 멍하게 있다 보면 억울함이 밀려와.
억울함,이런 억울함이 계속되면 무너질 것 같아.
억울함,무슨 일이 있어도 억울함은 좀처럼 사라지지 않아.
억울함,일상에 집중이 안 되고 멍했어.
억울함,마음이 복잡하고 어지러워.
억울함,하루 종일 기운이 없었어.
억울함,혼자 있으면 쓸쓸함이 밀려와.
억울함,누가 뭐라고 한 것도 아닌데 속이 답답했어.
억울함,별일 없는데 자꾸 가라앉는 기분이 들어.
억울함,대화를 해도 마음이 공허했어.
억울함,괜히 눈물이 날 것 같은 하루였어.
억울함,그냥 이유 없이 지치고 힘들었어.
억울함,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
억울함,밥도 거르고 그냥 멍하니 있었어.
억울함,샤워할 기운조차 없었어.
억울함,하루 종일 창밖만 멍하니 바라봤어.
억울함,핸드폰만 들여다보면서 시간을 보냈어.
억울함,거울 속 내 모습이 낯설게 느껴졌어.
억울함,집안일 하나도 못 하고 시간을 흘려보냈어.
억울함,오늘 아무것도 하지 않고 침대에만 누워 있었어.
억울함,친구한테 답장할 힘도 없었어.
억울함,하루 종일 방 안에서 조용히 있었어.
억울함,누워서 천장만 바라보며 시간을 보냈어.
좌절,"왜 이렇게 좌절하지, 나도 모르겠어."
좌절,이런 좌절이 계속되면 무너질 것 같아.
좌절,좌절이 쌓이고 쌓여서 이제는 무뎌진 것 같아.
좌절,자고 일어나도 좌절은 그대로야.
좌절,"말없이 눈물만 나, 아마 좌절 때문일 거야."
좌절,가끔은 좌절 없이 살고 싶다는 생각이 들어.
좌절,계속 좌절이 느껴져서 하루 종일 우울했어.
좌절,겉으로는 멀쩡해 보여도 속은 완전 좌절이야.
좌절,좌절이 괴로워서 아무 말도 하기 싫어.
좌절,자꾸 좌절에 잠식당하는 기분이야.
좌절,별일 없는데 자꾸 가라앉는 기분이 들어.
좌절,괜히 눈물이 날 것 같은 하루였어.
좌절,일상에 집중이 안 되고 멍했어.
좌절,마음이 복잡하고 어지러워.
좌절,혼자 있으면 쓸쓸함이 밀려와.
좌절,그냥 이유 없이 지치고 힘들었어.
좌절,누가 뭐라고 한 것도 아닌데 속이 답답했어.
좌절,하루 종일 기운이 없었어.
좌절,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
좌절,대화를 해도 마음이 공허했어.
좌절,누워서 천장만 바라보며 시간을 보냈어.
좌절,핸드폰만 들여다보면서 시간을 보냈어.
좌절,하루 종일 창밖만 멍하니 바라봤어.
좌절,샤워할 기운조차 없었어.
좌절,친구한테 답장할 힘도 없었어.
좌절,거울 속 내 모습이 낯설게 느껴졌어.
좌절,하루 종일 방 안에서 조용히 있었어.
좌절,오늘 아무것도 하지 않고 침대에만 누워 있었어.
좌절,집안일 하나도 못 하고 시간을 흘려보냈어.
좌절,밥도 거르고 그냥 멍하니 있었어.
실망,"왜 이렇게 실망하지, 나도 모르겠어."
실망,그냥 멍하게 있다 보면 실망이 밀려와.
실망,계속 실망이 느껴져서 하루 종일 우울했어.
실망,무슨 일이 있어도 실망은 좀처럼 사라지지 않아.
실망,말은 못 했지만 속으로는 계속 실망하고 있었어.
실망,"그냥 실망한 하루였어, 특별한 일도 없는데."
실망,괜찮다고 말하면서도 계속 실망이 따라다녀.
실망,가끔은 실망 없이 살고 싶다는 생각이 들어.
실망,실망이라는 감정을 이렇게 오래 느낀 건 처음이야.
실망,실망이 너무 심해서 일도 못 하겠어.
실망,혼자 있으면 쓸쓸함이 밀려와.
실망,마음이 복잡하고 어지러워.
실망,괜히 눈물이 날 것 같은 하루였어.
실망,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
실망,누가 뭐라고 한 것도 아닌데 속이 답답했어.
실망,별일 없는데 자꾸 가라앉는 기분이 들어.
실망,그냥 이유 없이 지치고 힘들었어.
실망,하루 종일 기운이 없었어.
실망,대화를 해도 마음이 공허했어.
실망,일상에 집중이 안 되고 멍했어.
실망,하루 종일 창밖만 멍하니 바라봤어.
실망,집안일 하나도 못 하고 시간을 흘려보냈어.
실망,밥도 거르고 그냥 멍하니 있었어.
실망,하루 종일 방 안에서 조용히 있었어.
실망,핸드폰만 들여다보면서 시간을 보냈어.
실망,샤워할 기운조차 없었어.
실망,거울 속 내 모습이 낯설게 느껴졌어.
실망,친구한테 답장할 힘도 없었어.
실망,오늘 아무것도 하지 않고 침대에만 누워 있었어.
실망,누워서 천장만 바라보며 시간을 보냈어.
혐오,사람들이 모를 뿐이지 나 진짜 혐오해.
혐오,혐오이 괴로워서 아무 말도 하기 싫어.
혐오,혐오이 너무 심해서 일도 못 하겠어.
혐오,혐오 때문에 웃는 게 어색해졌어.
혐오,혐오이 너무 심해서 사람 만나기도 싫어.
혐오,무슨 일이 있어도 혐오은 좀처럼 사라지지 않아.
혐오,솔직히 말해서 나 지금 혐오 때문에 힘들어.
혐오,혐오이 내 일상 전부를 잠식하고 있어.
혐오,괜찮다고 말하면서도 계속 혐오이 따라다녀.
혐오,혐오 때문에 밥맛도 없고 잠도 안 와.
혐오,하루 종일 기운이 없었어.
혐오,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
혐오,누가 뭐라고 한 것도 아닌데 속이 답답했어.
혐오,혼자 있으면 쓸쓸함이 밀려와.
혐오,그냥 이유 없이 지치고 힘들었어.
혐오,대화를 해도 마음이 공허했어.
혐오,마음이 복잡하고 어지러워.
혐오,괜히 눈물이 날 것 같은 하루였어.
혐오,별일 없는데 자꾸 가라앉는 기분이 들어.
혐오,일상에 집중이 안 되고 멍했어.
혐오,누워서 천장만 바라보며 시간을 보냈어.
혐오,친구한테 답장할 힘도 없었어.
혐오,핸드폰만 들여다보면서 시간을 보냈어.
혐오,샤워할 기운조차 없었어.
혐오,오늘 아무것도 하지 않고 침대에만 누워 있었어.
혐오,밥도 거르고 그냥 멍하니 있었어.
혐오,거울 속 내 모습이 낯설게 느껴졌어.
혐오,하루 종일 방 안에서 조용히 있었어.
혐오,집안일 하나도 못 하고 시간을 흘려보냈어.
혐오,하루 종일 창밖만 멍하니 바라봤어.
수치심,수치심 때문에 밥맛도 없고 잠도 안 와.
수치심,요즘 진짜 수치심 때문에 아무것도 손에 안 잡혀.
수치심,이런 수치심이 계속되면 무너질 것 같아.
수치심,수치심이 너무 심해서 사람 만나기도 싫어.
수치심,나 요즘 수치심이 너무 심해서 병원 가볼까 고민 중이야.
수치심,수치심 때문에 웃는 게 어색해졌어.
수치심,수치심이라는 감정을 이렇게 오래 느낀 건 처음이야.
수치심,수치심이 쌓이고 쌓여서 이제는 무뎌진 것 같아.
수치심,수치심이 내 일상 전부를 잠식하고 있어.
수치심,수치심을(를) 이겨내고 싶은데 쉽지가 않아.
수치심,일상에 집중이 안 되고 멍했어.
수치심,괜히 눈물이 날 것 같은 하루였어.
수치심,하루 종일 기운이 없었어.
수치심,그냥 이유 없이 지치고 힘들었어.
수치심,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
수치심,혼자 있으면 쓸쓸함이 밀려와.
수치심,대화를 해도 마음이 공허했어.
수치심,마음이 복잡하고 어지러워.
수치심,누가 뭐라고 한 것도 아닌데 속이 답답했어.
수치심,별일 없는데 자꾸 가라앉는 기분이 들어.
수치심,샤워할 기운조차 없었어.
수치심,오늘 아무것도 하지 않고 침대에만 누워 있었어.
수치심,누워서 천장만 바라보며 시간을 보냈어.
수치심,집안일 하나도 못 하고 시간을 흘려보냈어.
수치심,친구한테 답장할 힘도 없었어.
수치심,밥도 거르고 그냥 멍하니 있었어.
수치심,하루 종일 방 안에서 조용히 있었어.
수치심,핸드폰만 들여다보면서 시간을 보냈어.
수치심,거울 속 내 모습이 낯설게 느껴졌어.
수치심,하루 종일 창밖만 멍하니 바라봤어.
자기혐오,무슨 일이 있어도 자기혐오은 좀처럼 사라지지 않아.
자기혐오,자기혐오이 너무 심해서 일도 못 하겠어.
자기혐오,사람들이 모를 뿐이지 나 진짜 자기혐오해.
자기혐오,하루 종일 자기혐오 생각뿐이었어.
자기혐오,요즘 진짜 자기혐오 때문에 아무것도 손에 안 잡혀.
자기혐오,자기혐오 때문에 밥맛도 없고 잠도 안 와.
자기혐오,자기혐오 때문에 웃는 게 어색해졌어.
자기혐오,겉으로는 멀쩡해 보여도 속은 완전 자기혐오이야.
자기혐오,"그냥 자기혐오한 하루였어, 특별한 일도 없는데."
자기혐오,이런 자기혐오이 계속되면 무너질 것 같아.
자기혐오,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
자기혐오,별일 없는데 자꾸 가라앉는 기분이 들어.
자기혐오,일상에 집중이 안 되고 멍했어.
자기혐오,괜히 눈물이 날 것 같은 하루였어.
자기혐오,마음이 복잡하고 어지러워.
자기혐오,그냥 이유 없이 지치고 힘들었어.
자기혐오,혼자 있으면 쓸쓸함이 밀려와.
자기혐오,하루 종일 기운이 없었어.
자기혐오,누가 뭐라고 한 것도 아닌데 속이 답답했어.
자기혐오,대화를 해도 마음이 공허했어.
자기혐오,하루 종일 창밖만 멍하니 바라봤어.
자기혐오,샤워할 기운조차 없었어.
자기혐오,집안일 하나도 못 하고 시간을 흘려보냈어.
자기혐오,거울 속 내 모습이 낯설게 느껴졌어.
자기혐오,친구한테 답장할 힘도 없었어.
자기혐오,오늘 아무것도 하지 않고 침대에만 누워 있었어.
자기혐오,핸드폰만 들여다보면서 시간을 보냈어.
자기혐오,누워서 천장만 바라보며 시간을 보냈어.
자기혐오,밥도 거르고 그냥 멍하니 있었어.
자기혐오,하루 종일 방 안에서 조용히 있었어.
자책,말은 못 했지만 속으로는 계속 자책하고 있었어.
자책,나 요즘 자책이 너무 심해서 병원 가볼까 고민 중이야.
자책,자책이라는 감정을 어떻게 표현해야 할지 모르겠어.
자책,자책 때문에 웃는 게 어색해졌어.
자책,자꾸 자책에 잠식당하는 기분이야.
자책,괜찮다고 말하면서도 계속 자책이 따라다녀.
자책,겉으로는 멀쩡해 보여도 속은 완전 자책이야.
자책,자책을(를) 이겨내고 싶은데 쉽지가 않아.
자책,자책이 괴로워서 아무 말도 하기 싫어.
자책,솔직히 말해서 나 지금 자책 때문에 힘들어.
자책,괜히 눈물이 날 것 같은 하루였어.
자책,하루 종일 기운이 없었어.
자책,그냥 이유 없이 지치고 힘들었어.
자책,마음이 복잡하고 어지러워.
자책,대화를 해도 마음이 공허했어.
자책,별일 없는데 자꾸 가라앉는 기분이 들어.
자책,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
자책,혼자 있으면 쓸쓸함이 밀려와.
자책,일상에 집중이 안 되고 멍했어.
자책,누가 뭐라고 한 것도 아닌데 속이 답답했어.
자책,핸드폰만 들여다보면서 시간을 보냈어.
자책,샤워할 기운조차 없었어.
자책,친구한테 답장할 힘도 없었어.
자책,집안일 하나도 못 하고 시간을 흘려보냈어.
자책,하루 종일 방 안에서 조용히 있었어.
자책,거울 속 내 모습이 낯설게 느껴졌어.
자책,밥도 거르고 그냥 멍하니 있었어.
자책,하루 종일 창밖만 멍하니 바라봤어.
자책,누워서 천장만 바라보며 시간을 보냈어.
자책,오늘 아무것도 하지 않고 침대에만 누워 있었어.
초조함,초조함이 너무 심해서 일도 못 하겠어.
초조함,나 요즘 초조함이 너무 심해서 병원 가볼까 고민 중이야.
초조함,초조함 때문에 밥맛도 없고 잠도 안 와.
초조함,하루 종일 초조함 생각뿐이었어.
초조함,"왜 이렇게 초조함하지, 나도 모르겠어."
초조함,이런 초조함이 계속되면 무너질 것 같아.
초조함,초조함 때문에 웃는 게 어색해졌어.
초조함,초조함을(를) 이겨내고 싶은데 쉽지가 않아.
초조함,"말없이 눈물만 나, 아마 초조함 때문일 거야."
초조함,자고 일어나도 초조함은 그대로야.
초조함,별일 없는데 자꾸 가라앉는 기분이 들어.
초조함,괜히 눈물이 날 것 같은 하루였어.
초조함,일상에 집중이 안 되고 멍했어.
초조함,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
초조함,하루 종일 기운이 없었어.
초조함,그냥 이유 없이 지치고 힘들었어.
초조함,대화를 해도 마음이 공허했어.
초조함,누가 뭐라고 한 것도 아닌데 속이 답답했어.
초조함,혼자 있으면 쓸쓸함이 밀려와.
초조함,마음이 복잡하고 어지러워.
초조함,거울 속 내 모습이 낯설게 느껴졌어.
초조함,샤워할 기운조차 없었어.
초조함,하루 종일 방 안에서 조용히 있었어.
초조함,친구한테 답장할 힘도 없었어.
초조함,집안일 하나도 못 하고 시간을 흘려보냈어.
초조함,핸드폰만 들여다보면서 시간을 보냈어.
초조함,오늘 아무것도 하지 않고 침대에만 누워 있었어.
초조함,하루 종일 창밖만 멍하니 바라봤어.
초조함,누워서 천장만 바라보며 시간을 보냈어.
초조함,밥도 거르고 그냥 멍하니 있었어.
피곤함,"그냥 피곤함한 하루였어, 특별한 일도 없는데."
피곤함,겉으로는 멀쩡해 보여도 속은 완전 피곤함이야.
피곤함,"왜 이렇게 피곤함하지, 나도 모르겠어."
피곤함,솔직히 말해서 나 지금 피곤함 때문에 힘들어.
피곤함,괜찮다고 말하면서도 계속 피곤함이 따라다녀.
피곤함,자고 일어나도 피곤함은 그대로야.
피곤함,자꾸 피곤함에 잠식당하는 기분이야.
피곤함,진심으로 피곤함이 나를 갉아먹는 느낌이야.
피곤함,피곤함이라는 감정을 이렇게 오래 느낀 건 처음이야.
피곤함,요즘 진짜 피곤함 때문에 아무것도 손에 안 잡혀.
피곤함,일상에 집중이 안 되고 멍했어.
피곤함,그냥 이유 없이 지치고 힘들었어.
피곤함,별일 없는데 자꾸 가라앉는 기분이 들어.
피곤함,"내가 왜 이러는지 모르겠어, 그냥 힘들어."
피곤함,괜히 눈물이 날 것 같은 하루였어.
피곤함,대화를 해도 마음이 공허했어.
피곤함,마음이 복잡하고 어지러워.
피곤함,혼자 있으면 쓸쓸함이 밀려와.
피곤함,누가 뭐라고 한 것도 아닌데 속이 답답했어.
피곤함,하루 종일 기운이 없었어.
피곤함,누워서 천장만 바라보며 시간을 보냈어.
피곤함,집안일 하나도 못 하고 시간을 흘려보냈어.
피곤함,밥도 거르고 그냥 멍하니 있었어.
피곤함,거울 속 내 모습이 낯설게 느껴졌어.
피곤함,오늘 아무것도 하지 않고 침대에만 누워 있었어.
피곤함,하루 종일 방 안에서 조용히 있었어.
피곤함,샤워할 기운조차 없었어.
피곤함,친구한테 답장할 힘도 없었어.
